products_column,extrate_column
countries,Proteins
categories,Categories
packaging_tags,Packaging
carbohydrates_100g,Carbohydrates
ingredients_from_palm_oil_n,Manufacturing or processing places
ingredients_from_palm_oil_tags,Manufacturing or processing places
cities_tags,Categories
manufacturing_places_tags,Manufacturing or processing places
quantity,Quantity
packaging,Packaging
manufacturing_places,Manufacturing or processing places
stores,Stores 
brands,Brands
magnesium_100g,Magnesium
first_packaging_code_geo,Link to the product page on the official site of the producer
countries_tags,Categories
traces_tags,Categories
categories_fr,Categories
categories_tags,Categories
ingredients_from_palm_oil,Manufacturing or processing places
